Honda data

Average power   ZCR     Spectral centroid   Bandwidth           Tempo
	0.153		0.033 		1057.635		1430.96-2118.424	112.347
	0.069		0.101 		2375.766		2342.838-2647.735	117.454
	0.155		0.071 		2110.036		1684.684-2705.151	66.256
	0.088		0.103 		2286.315		2097.939-2720.384	151.999
	0.139		0.058 		1854.998		1434.495-2936.996	117.454
	0.162		0.132 		3044.17		    2699.872-3137.508	129.199
	0.329		0.089 		2376.204		2612.986-3258.696	86.133
	0.264		0.086 		2054.127		1896.502-2451.451	161.499
	0.121		0.037 		1400.117		1792.152-2798.772	151.999
	0.127		0.053 		1592.182		1540.335-2482.47	135.999
	0.083		0.107 		2210.283		2168.381-2632.057	143.555
	0.092		0.049 		1508.075		1856.144-3178.394	129.199
	0.128		0.028 		591.806		   	968.689-1907.918	112.347
	0.056		0.273 		4049.501		2912.812-3416.636	76.0
	0.115		0.053 		1804.284		2103.901-2805.153	76.0
	0.149		0.137 		2232.221		1922.425-2309.147	123.047
	0.164		0.056 		1813.44		    1903.807-2400.544	117.454
	0.122		0.032 		1011.902		1542.321-2717.433	129.199
	0.056		0.111 		2513.955		2479.237-3331.373	99.384
	0.19		0.111 		2463.841		2322.289-2729.147	123.047
	0.212		0.045 		1481.346		1838.613-2466.655	103.359
	0.148		0.023 		890.242		    1468.677-2366.423	117.454
	0.22		0.073 		2147.677		2089.67-2979.959	129.199
	0.033		0.139 		2612.715		1960.048-3101.834	135.999
	0.108		0.143 		3568.83		    2763.026-3452.959	151.999
	0.11		0.111 		2539.333		0.0-3146.534	    151.999
	0.176		0.121 		2318.719		2266.071-2732.333	107.666
	0.183		0.11 		2096.417		2049.417-2443.503	112.347
	0.225		0.04 		1357.103		1795.4-2305.48	    135.999
	0.151		0.041 		1324.114		0.0-2928.671	    107.666
	0.392		0.038 		1503.778		1970.808-2815.24	129.199
	0.171		0.082 		1851.126		1749.386-2508.736	80.75
	0.058		0.27 		4025.558		2903.438-3394.123	76.0
	0.098		0.094 		2500.728		2008.478-3162.568	92.285
	0.118		0.074 		2241.972		2279.075-2990.468	123.047

	0.147411765	0.090911765	2110.378853		#DIV/0!	#DIV/0!		117.7115294


